names,budget_x,revenue,score_scaled,budget_x_scaled,revenue_scaled,year_scaled,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_Unknown,genre_War,genre_Western,lang_ Chinese,lang_ English,lang_ French,lang_ German,lang_ Italian,lang_ Japanese,lang_ Korean,"lang_ Spanish, Castilian",lang_Other,country_ES,country_FR,country_GB,country_HK,country_IT,country_JP,country_KR,country_Other,country_US,status_ Post Production,status_ Released
John Wick: Chapter 2,40000000.0,171539887.0,0.6666666666666666,-0.11042402826855123,0.031938308658905463,0.2222222222222222,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sick,81800000.0,408307377.8,-0.16666666666666666,0.35114840989399293,0.6349677169762938,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Black Warrant,116000000.0,378399280.8,-0.9166666666666666,0.7287985865724381,0.5587939906895047,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Shotgun Wedding,16050000.0,4495365.0,-0.16666666666666666,-0.37488957597173145,-0.39351181932936213,0.5555555555555556,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
John Wick: Chapter 3 - Parabellum,55000000.0,326709727.0,0.75,0.055212014134275615,0.42714449379749386,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Legion of Super-Heroes,113400000.0,778431865.2,-0.16666666666666666,0.7000883392226148,1.5776476004622184,0.5555555555555556,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Fall,3000000.0,16120263.0,0.6666666666666666,-0.5189929328621908,-0.36390405798086034,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Lord of the Streets,1000000.0,22790427.2,-1.0833333333333333,-0.541077738515901,-0.3469156396920358,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Little Dixie,141340000.0,748525217.4,-0.4166666666666667,1.008613074204947,1.5014775651813843,0.5555555555555556,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
The Whale,3000000.0,36752010.0,1.3333333333333333,-0.5189929328621908,-0.3113565137891894,0.5555555555555556,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
